name,name_zh,name_json,source,layer,lat,lon
REDHILL MRT STATION (EW18),红山地铁,"[""EW18"", ""Redhill MRT""]",onemap,venue,1.28963453412887,103.81674097205
QUEENSTOWN MRT STATION (EW19),女皇镇地铁,"[""EW19"", ""Queenstown MRT""]",onemap,venue,1.29455085184931,103.806077155982
COMMONWEALTH MRT STATION (EW20),联邦地铁,"[""EW20"", ""Commonwealth MRT""]",onemap,venue,1.30250199924325,103.798228523336
BUONA VISTA MRT STATION (EW21),波那维斯达地铁,"[""EW21"", ""Buona Vista MRT""]",onemap,venue,1.3072237082044,103.790253514502
DOVER MRT STATION (EW22),杜弗地铁,"[""EW22"", ""Dover MRT""]",onemap,venue,1.31140529320963,103.778637841909
CLEMENTI MRT STATION (EW23),金文泰地铁,"[""EW23"", ""Clementi MRT""]",onemap,venue,1.31511625277378,103.765191452888
JURONG EAST MRT STATION (EW24 / NS1),裕廊东地铁,"[""EW24"", ""Jurong East MRT""]",onemap,venue,1.33315281585758,103.742286332403
CHINESE GARDEN MRT STATION (EW25),裕华园地铁,"[""EW25"", ""Chinese Garden MRT""]",onemap,venue,1.34235282081401,103.732596738363
LAKESIDE MRT STATION (EW26),湖畔地铁,"[""EW26"", ""Lakeside MRT""]",onemap,venue,1.34425911493819,103.720949087456
BOON LAY MRT STATION (EW27),文礼地铁,"[""EW27"", ""Boon Lay MRT""]",onemap,venue,1.33860405469845,103.706064622772
PIONEER MRT STATION (EW28),先驱地铁,"[""EW28"", ""Pioneer MRT""]",onemap,venue,1.33758701106708,103.697321608474
JOO KOON MRT STATION (EW29),裕群地铁,"[""EW29"", ""Joo Koon MRT""]",onemap,venue,1.3277170408447,103.678374996165
GUL CIRCLE MRT STATION (EW30),卡尔圈 站地铁,"[""EW30"", ""Gul Circle MRT""]",onemap,venue,1.31947090075208,103.660530461345
TUAS CRESCENT MRT STATION (EW31),大士弯站地铁,"[""EW31"", ""Tuas Crescent MRT""]",onemap,venue,1.32102695598684,103.649078235627
TUAS WEST ROAD MRT STATION (EW32),大 士 西 路站地铁,"[""EW32"", ""Tuas West Road MRT""]",onemap,venue,1.32998504653102,103.639616648771
TUAS LINK MRT STATION (EW33),大士连路站地铁,"[""EW33"", ""Tuas Link MRT""]",onemap,venue,1.34088242451105,103.636991425128
EXPO MRT STATION (DT35),博览地铁,"[""CG1"", ""Expo MRT""]",onemap,venue,1.33538252614956,103.962374747451
CHANGI AIRPORT MRT STATION (CG2),樟宜机场地铁,"[""CG2"", ""Changi Airport MRT""]",onemap,venue,1.35747897447692,103.98788356959
HARBOURFRONT MRT STATION (NE1 / CC29),港湾地铁,"[""NE1"", ""HarbourFront MRT""]",onemap,venue,1.26538938374901,103.821530157095
OUTRAM PARK MRT STATION,欧南园地铁,"[""NE3"", ""Outram Park MRT""]",onemap,venue,1.2802415328084,103.840052100136
CHINATOWN MRT STATION (DT19),牛车水地铁,"[""NE4"", ""Chinatown MRT""]",onemap,venue,1.28422391919085,103.845143798953
CLARKE QUAY MRT STATION (NE5),克拉码头地铁,"[""NE5"", ""Clarke Quay MRT""]",onemap,venue,1.28838602407588,103.846555209694
DHOBY GHAUT MRT STATION (NS24),多美歌地铁,"[""NE6"", ""Dhoby Ghaut MRT""]",onemap,venue,1.29870132536119,103.846113677951
