stn_code,mrt_station_english,mrt_station_chinese,mrt_line_english,mrt_line_chinese,onemap_query,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,LONGTITUDE
DT30,Bedok Reservoir,勿洛蓄水池,Downtown Line,滨海市区线,Bedok Reservoir MRT,BEDOK RESERVOIR MRT STATION (DT30),371,BEDOK NORTH AVENUE 3,BEDOK RESERVOIR MRT STATION (DT30),371 BEDOK NORTH AVENUE 3 BEDOK RESERVOIR MRT STATION (DT30) SINGAPORE 469724,469724,39008.3131622663,35421.0408713054,1.33660782955099,103.932234623286,103.932234623286
DT31,Tampines West,淡滨尼西,Downtown Line,滨海市区线,Tampines West MRT,TAMPINES WEST MRT STATION (DT31),2,TAMPINES AVENUE 4,TAMPINES WEST MRT STATION (DT31),2 TAMPINES AVENUE 4 TAMPINES WEST MRT STATION (DT31) SINGAPORE 529683,529683,39698.5275852969,36406.0143331178,1.34551530560119,103.938436971222,103.938436971222
DT32,Tampines,淡滨尼,Downtown Line,滨海市区线,Tampines MRT,TAMPINES WEST MRT STATION (DT31),2,TAMPINES AVENUE 4,TAMPINES WEST MRT STATION (DT31),2 TAMPINES AVENUE 4 TAMPINES WEST MRT STATION (DT31) SINGAPORE 529683,529683,39698.5275852969,36406.0143331178,1.34551530560119,103.938436971222,103.938436971222
DT33,Tampines East,淡滨尼东,Downtown Line,滨海市区线,Tampines East MRT,TAMPINES EAST MRT STATION (DT33),20,TAMPINES AVENUE 7,TAMPINES EAST MRT STATION (DT33),20 TAMPINES AVENUE 7 TAMPINES EAST MRT STATION (DT33) SINGAPORE 529623,529623,41501.0748521937,37586.6177644413,1.35619148271544,103.9546344625,103.9546344625
DT34,Upper Changi,樟宜上段,Downtown Line,滨海市区线,Upper Changi MRT,UPPER CHANGI MRT STATION (DT34),690,UPPER CHANGI ROAD EAST,UPPER CHANGI MRT STATION (DT34),690 UPPER CHANGI ROAD EAST UPPER CHANGI MRT STATION (DT34) SINGAPORE 485990,485990,42262.187971171,35988.6568845119,1.34173977444995,103.961472788634,103.961472788634
DT35,Expo,博览,Downtown Line,滨海市区线,Expo MRT,EXPO MRT STATION (DT35),2,EXPO DRIVE,EXPO MRT STATION (DT35),2 EXPO DRIVE EXPO MRT STATION (DT35) SINGAPORE 485985,485985,42362.6034600167,35285.7083877847,1.33538252614956,103.962374747451,103.962374747451
BP1,Choa Chu Kang,蔡厝港,Bukit Panjang LRT,武吉班让轻轨线,Choa Chu Kang LRT,CHOA CHU KANG LRT STATION (BP1),15,CHOA CHU KANG AVENUE 4,CHOA CHU KANG LRT STATION (BP1),15 CHOA CHU KANG AVENUE 4 CHOA CHU KANG LRT STATION (BP1) SINGAPORE 689813,689813,18119.8205469949,40744.9184182286,1.38475541089131,103.74453769781,103.74453769781
BP2,South View,南山,Bukit Panjang LRT,武吉班让轻轨线,South View LRT,SOUTH VIEW LRT STATION (BP2),50,CHOA CHU KANG WAY,SOUTH VIEW LRT STATION (BP2),50 CHOA CHU KANG WAY SOUTH VIEW LRT STATION (BP2) SINGAPORE 688265,688265,18203.72427563,40252.0686228592,1.38029828742399,103.745291799824,103.745291799824
BP3,Keat Hong,吉丰,Bukit Panjang LRT,武吉班让轻轨线,Keat Hong LRT,KEAT HONG LRT STATION (BP3),30,CHOA CHU KANG WAY,KEAT HONG LRT STATION (BP3),30 CHOA CHU KANG WAY KEAT HONG LRT STATION (BP3) SINGAPORE 688266,688266,18622.5893422375,40064.6246900782,1.3786032506373,103.749055668925,103.749055668925
BP4,Teck Whye,德惠,Bukit Panjang LRT,武吉班让轻轨线,Teck Whye LRT,TECK WHYE LRT STATION (BP4),10,CHOA CHU KANG WAY,TECK WHYE LRT STATION (BP4),10 CHOA CHU KANG WAY TECK WHYE LRT STATION (BP4) SINGAPORE 688267,688267,19140.8000152688,39852.4607739244,1.37668467920808,103.753712232337,103.753712232337
BP5,Phoenix,凤凰,Bukit Panjang LRT,武吉班让轻轨线,Phoenix LRT,PHOENIX LRT STATION (BP5),40,CHOA CHU KANG ROAD,PHOENIX LRT STATION (BP5),40 CHOA CHU KANG ROAD PHOENIX LRT STATION (BP5) SINGAPORE 689483,689483,19617.4881601976,40065.9404090624,1.37861545104083,103.757995558346,103.757995558346
BP6,Bukit Panjang,武吉班让,Bukit Panjang LRT,武吉班让轻轨线,Bukit Panjang LRT,BUKIT PANJANG LRT STATION (BP6),11,PETIR ROAD,BUKIT PANJANG LRT STATION (BP6),11 PETIR ROAD BUKIT PANJANG LRT STATION (BP6) SINGAPORE 678268,678268,20185.8730407264,39989.791610267,1.37792694616982,103.763102931112,103.763102931112
BP7,Petir,柏提,Bukit Panjang LRT,武吉班让轻轨线,Petir LRT,PETIR LRT STATION (BP7),31,PETIR ROAD,PETIR LRT STATION (BP7),31 PETIR ROAD PETIR LRT STATION (BP7) SINGAPORE 678269,678269,20580.1479736092,39972.6518196631,1.37777204259082,103.766645782497,103.766645782497
BP8,Pending,秉定,Bukit Panjang LRT,武吉班让轻轨线,Pending LRT,PENDING LRT STATION (BP8),9,PENDING ROAD,PENDING LRT STATION (BP8),9 PENDING ROAD PENDING LRT STATION (BP8) SINGAPORE 678296,678296,21093.7792520449,39791.7041831557,1.37613574334988,103.771261175571,103.771261175571
BP9,Bangkit,万吉,Bukit Panjang LRT,武吉班让轻轨线,Bangkit LRT,BANGKIT LRT STATION (BP9),20,BUKIT PANJANG RING ROAD,BANGKIT LRT STATION (BP9),20 BUKIT PANJANG RING ROAD BANGKIT LRT STATION (BP9) SINGAPORE 679939,679939,21248.0565876467,40221.4484106153,1.38002223010088,103.772647370452,103.772647370452
BP10,Fajar,法嘉,Bukit Panjang LRT,武吉班让轻轨线,Fajar LRT,FAJAR LRT STATION (BP10),40,FAJAR ROAD,FAJAR LRT STATION (BP10),40 FAJAR ROAD FAJAR LRT STATION (BP10) SINGAPORE 679004,679004,21052.1874405267,40724.6743432153,1.38457317668026,103.770887223018,103.770887223018
